                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0918,                 6.7835,                 4.1804,                      0,                      0,                      0,                      0,                 5.3503,                 4.9988,                 4.1657,             0.00055042,             0.00055042,             0.00055042
                      2,                 2.6767,                 4.0084,                 3.1616,                0.03833,                0.52287,                0.03032,                0.00904,                 3.0545,                 32.464,                 3.2697,              0.0010951,              0.0010951,              0.0010951
                      3,                 2.1906,                 2.9163,                 2.5825,                0.32418,                0.13768,                0.23251,                0.04651,                 2.7663,                  3.311,                 2.7593,              0.0016289,              0.0016289,              0.0016289
                      4,                 2.2378,                 2.5185,                 2.4156,                0.23155,                0.48946,                0.34875,                0.11901,                 2.3445,                 2.2673,                 2.4264,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.1345,                 2.4325,                 2.2585,                0.19156,                0.71099,                0.26983,                0.06403,                  2.472,                  2.645,                 2.5015,               0.001601,               0.001601,               0.001601
                      6,                 2.0798,                 2.1246,                 2.1719,                0.36136,                0.67725,                0.41825,                0.11947,                 2.4682,                 2.0953,                 2.5097,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.9529,                 1.9199,                 1.9794,                0.16363,                0.65354,                0.16621,                0.05766,                 2.4292,                  2.614,                 2.3485,               0.001568,               0.001568,               0.001568
                      8,                 1.8971,                 1.7404,                 1.9132,                 0.0911,                0.53347,                0.15073,                0.05548,                 2.1799,                 2.6768,                 2.2071,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.9071,                 1.7136,                 1.8871,                0.15883,                0.41276,                0.18761,                0.05036,                 2.4024,                  2.731,                 2.4287,               0.001535,               0.001535,               0.001535
                     10,                 1.8573,                  1.596,                 1.8175,                0.18947,                0.56344,                0.24256,                0.05982,                 2.5293,                 2.2465,                 2.4589,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.8742,                  1.526,                 1.8609,                0.15534,                0.59825,                0.16701,                0.05681,                 2.3589,                 2.5694,                 2.3163,               0.001502,               0.001502,               0.001502
                     12,                 1.8129,                 1.5157,                 1.7414,                0.20926,                0.53586,                 0.2148,                0.07053,                 2.3569,                 2.2766,                 2.3096,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.7386,                 1.4509,                 1.7192,                0.23696,                 0.7524,                0.25355,                0.08159,                 2.4511,                 1.9615,                 2.3661,               0.001469,               0.001469,               0.001469
                     14,                 1.8328,                 1.3761,                 1.7356,                0.18463,                 0.4588,                0.23038,                0.07148,                 2.4045,                 2.2877,                 2.3377,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.7948,                 1.3242,                 1.7001,                0.30334,                0.69417,                0.32409,                0.10197,                 2.4866,                 2.0101,                 2.4299,               0.001436,               0.001436,               0.001436
                     16,                 1.7117,                 1.2332,                 1.6374,                0.25279,                0.51608,                0.29509,                0.09289,                 2.4882,                 2.3691,                 2.3823,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.6918,                 1.2848,                  1.664,                0.18006,                0.59976,                0.19956,                0.06196,                 2.4971,                  2.334,                 2.4109,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.6722,                 1.2435,                 1.6366,                0.23929,                0.62676,                0.24351,                0.09169,                 2.2615,                  2.105,                 2.1627,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.6788,                 1.2564,                 1.6791,                0.22545,                0.68858,                0.24664,                0.09249,                 2.2267,                 2.0415,                 2.1633,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.6508,                 1.2061,                 1.6192,                0.29762,                0.63081,                0.32554,                0.10691,                 2.5033,                 2.1456,                  2.379,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.7044,                 1.1912,                 1.5876,                   0.16,                0.76746,                0.20287,                0.06112,                 2.5717,                 2.7164,                 2.5141,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.6917,                 1.2376,                 1.6237,                0.13984,                0.48586,                0.16097,                0.04652,                 2.7378,                  2.478,                 2.5797,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.6691,                  1.168,                 1.6132,                0.25018,                 0.6636,                 0.2681,                0.09071,                 2.5018,                 2.0712,                 2.3761,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.5991,                 1.1354,                 1.5494,                0.26261,                0.64719,                0.29265,                0.10985,                 2.3881,                 2.1899,                  2.338,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.6018,                 1.1066,                 1.5843,                0.26243,                0.65115,                0.26701,                0.10881,                  2.203,                 2.1209,                  2.128,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.6301,                 1.0728,                 1.5608,                0.20003,                0.55185,                0.22579,                0.08607,                 2.3707,                 2.5629,                 2.2846,              0.0012544,              0.0012544,              0.0012544
